"Team","Rank","QB","Rank","RB","Rank","WR","Rank","TE","Rank","K","Rank","DST"
"Arizona Cardinals","28","15.1","14","18.1","32","15.1","25","5.8","27","6.3","24","3.3"
"Atlanta Falcons","1","29.9","15","18.0","4","30.3","2","14.3","20","7.5","26","2.8"
"Baltimore Ravens","12","20.5","29","13.6","25","19.5","15","8.5","31","4.2","23","3.3"
"Buffalo Bills","18","19.2","26","14.9","24","19.7","6","10.6","24","6.8","22","3.5"
"Carolina Panthers","29","14.6","6","24.5","29","17.1","26","5.7","13","8.8","19","4.7"
"Chicago Bears","32","12.5","21","16.9","27","17.4","17","7.8","4","11.0","15","5.0"
"Cincinnati Bengals","19","18.6","11","20.0","19","22.9","9","10.4","6","10.5","5","9.2"
"Cleveland Browns","14","20.2","16","17.9","3","30.5","12","9.3","19","7.5","12","5.8"
"Dallas Cowboys","25","16.7","19","17.2","6","27.1","10","9.5","7","10.2","14","5.3"
"Denver Broncos","8","21.2","32","12.1","15","23.4","18","6.9","14","8.8","3","9.4"
"Detroit Lions","11","20.6","4","25.4","9","26.3","30","4.3","22","7.2","16","4.8"
"Green Bay Packers","21","17.9","2","28.0","22","21.1","20","6.6","25","6.8","29","1.8"
"Houston Texans","13","20.2","1","28.6","8","26.3","13","9.3","17","7.8","11","6.0"
"Indianapolis Colts","31","13.4","27","14.9","17","22.9","32","2.3","21","7.3","18","4.7"
"Jacksonville Jaguars","10","20.7","5","24.7","18","22.9","5","11.2","3","11.3","9","6.8"
"Kansas City Chiefs","27","15.3","13","18.2","30","16.9","19","6.7","28","6.0","30","1.7"
"Las Vegas Raiders","9","20.8","3","26.6","13","24.2","22","6.4","16","8.4","20","4.6"
"Los Angeles Chargers","3","24.5","25","14.9","21","22.1","8","10.5","2","12.2","13","5.6"
"Los Angeles Rams","20","18.4","22","16.9","31","16.3","14","8.8","26","6.3","25","3.0"
"Miami Dolphins","22","17.6","8","22.6","16","23.0","31","3.2","30","4.2","21","3.7"
"Minnesota Vikings","6","22.2","12","18.6","2","32.8","16","8.1","1","14.7","8","7.2"
"New England Patriots","24","16.8","28","14.8","12","24.5","28","5.2","10","9.8","6","8.4"
"New Orleans Saints","4","23.9","17","17.8","14","23.6","1","14.9","18","7.8","31","1.6"
"New York Giants","26","16.6","10","20.0","11","25.0","27","5.4","12","9.0","4","9.3"
"New York Jets","16","19.5","7","23.3","20","22.5","11","9.4","9","10.0","1","11.2"
"Philadelphia Eagles","15","20.1","20","17.1","10","25.8","3","12.1","11","9.3","7","8.3"
"Pittsburgh Steelers","23","17.0","30","13.3","7","26.8","24","6.0","32","3.8","28","2.0"
"San Francisco 49ers","17","19.4","31","12.8","23","20.3","23","6.0","8","10.2","10","6.0"
"Seattle Seahawks","2","25.7","23","16.1","1","38.3","29","4.5","5","10.6","27","2.8"
"Tampa Bay Buccaneers","30","14.0","24","15.6","26","19.3","21","6.6","23","7.2","17","4.7"
"Tennessee Titans","5","22.2","9","20.5","5","28.7","7","10.6","29","5.2","32","0.6"
"Washington Football Team","7","21.3","18","17.4","28","17.2","4","11.4","15","8.5","2","9.7"
""
""
